source,country,bias,factual_reporting,press_freedom,media_type,popularity,mbfc_credibility_rating,nela_gt_label
blastingnews.com,united kingdom,least biased,high,mostly free,website,high traffic,high credibility,reliable
bleepingcomputer.com,usa,least biased,high,mostly free,website,high traffic,high credibility,reliable
bnonews.com,netherlands,least biased,high,mostly free,news agency,medium traffic,high credibility,reliable
bordercountiesadvertizer.co.uk,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
borderreport.com,usa,least biased,high,mostly free,website,medium traffic,high credibility,reliable
bordertelegraph.com,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
borehamwoodtimes.co.uk,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
bournemouthecho.co.uk,united kingdom,least biased,high,mostly free,newspaper,high traffic,high credibility,reliable
bozemandailychronicle.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
bracknellnews.co.uk,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
thetelegraphandargus.co.uk,united kingdom,least biased,high,mostly free,newspaper,high traffic,high credibility,reliable
braintreeandwithamtimes.co.uk,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
brentwoodlive.co.uk,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
bridgemi.com,usa,left-center,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
bringmethenews.com,usa,least biased,high,mostly free,website,medium traffic,high credibility,reliable
heraldcourier.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
theeagle.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
buffalonews.com,usa,least biased,high,mostly free,newspaper,high traffic,high credibility,reliable
bullshido.net,usa,least biased,high,mostly free,website,minimal traffic,high credibility,reliable
shawlocal.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
business2community.com,usa,least biased,mixed,mostly free,website,minimal traffic,medium credibility,mixed
butlercountytimesgazette.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
c-span.org,usa,least biased,very high,mostly free,tv station,high traffic,high credibility,reliable
somdnews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
canoncitydailyrecord.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
capecodtimes.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
capecoralbreeze.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
capitolfax.com,usa,least biased,high,mostly free,website,medium traffic,high credibility,reliable
carrollconews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
trib.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
castanet.net,canada,least biased,high,mostly free,website,high traffic,high credibility,reliable
tucsonlocalmedia.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
cbslocal.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility,reliable
cdt.org,usa,least biased,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
opensecrets.org,usa,least biased,very high,mostly free,organization/foundation,medium traffic,high credibility,reliable
csis.org,usa,least biased,very high,mostly free,organization/foundation,medium traffic,high credibility,reliable
myeasternshoremd.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility,reliable
chandlernews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
postregister.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
channelnewsasia.com,singapore,least biased,high,limited freedom,tv station,high traffic,high credibility,reliable
charitynavigator.org,usa,least biased,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
chathamhouse.org,united kingdom,least biased,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
timesfreepress.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
thelandmark.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
chicoer.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
chinookobserver.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
chippewa.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
csmonitor.com,usa,least biased,high,mostly free,magazine,medium traffic,high credibility,reliable
citynews.ca,canada,least biased,high,mostly free,radio station,high traffic,high credibility,reliable
clarindaherald.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
cctimesdemocrat.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
claytodayonline.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
claytonrecord.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
columbustelegram.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
cnet.com,usa,least biased,high,mostly free,website,high traffic,high credibility,reliable
ced.org,usa,least biased,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
cpj.org,usa,least biased,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
communityimpact.com,usa,least biased,high,mostly free,website,medium traffic,high credibility,reliable
independenttribune.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
concordmonitor.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
congress.gov,usa,least biased,very high,mostly free,organization/foundation,high traffic,high credibility,reliable
cbo.gov,usa,least biased,very high,mostly free,organization/foundation (government),medium traffic,high credibility,reliable
constitutioncenter.org,usa,least biased,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
consumerreports.org,usa,least biased,high,mostly free,magazine,high traffic,high credibility,reliable
cookcountynews-herald.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
cookpolitical.com,usa,least biased,high,mostly free,website,medium traffic,high credibility,reliable
corriere.it,italy,least biased,high,moderate freedom,newspaper,high traffic,high credibility,reliable
coronavirus.gov,usa,least biased,high,mostly free,organization/foundation,high traffic,high credibility,reliable
gazettetimes.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
cfr.org,usa,least biased,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
countable.com,usa,least biased,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
countryliving.com,usa,least biased,high,mostly free,magazine,high traffic,high credibility,reliable
courthousenews.com,usa,least biased,high,mostly free,website,medium traffic,high credibility,reliable
courttv.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility,reliable
covidtracking.com,usa,least biased,high,mostly free,website,minimal traffic,high credibility,reliable
cp24.com,canada,least biased,high,mostly free,tv station,high traffic,high credibility,reliable
craigdailypress.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
crainscleveland.com,usa,least biased,high,mostly free,magazine,medium traffic,high credibility,reliable
crainsdetroit.com,usa,least biased,high,mostly free,magazine,medium traffic,high credibility,reliable
cruxnow.com,usa,least biased,high,mostly free,website,medium traffic,high credibility,reliable
ctvnews.ca,canada,least biased,high,mostly free,tv station,high traffic,high credibility,reliable
starexponent.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
dccircuitbreaker.org,usa,least biased,high,mostly free,website,minimal traffic,high credibility,reliable
dailycamera.com,usa,least biased,high,mostly free,newspaper,mediumtraffic,high credibility,reliable
messengernews.net,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
dailyjournalonline.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
dailymaverick.co.za,south africa,least biased,high,mostly free,website,high traffic,high credibility,reliable
nonpareilonline.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
dailyrecord.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
godanriver.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
darientimes.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
daytondailynews.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
defensenews.com,usa,least biased,high,mostly free,website,medium traffic,high credibility,reliable
defenseone.com,usa,least biased,high,mostly free,website,medium traffic,high credibility,reliable
shawlocal.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
delawarelive.com,usa,least biased,high,mostly free,website,minimal traffic,high credibility,reliable
dbrnews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
dentonrc.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
desmoinesregister.com,usa,least biased,high,mostly free,newspaper,high traffic,high credibility,reliable
standaard.be,belgium,least biased,high,mostly free,newspaper,high traffic,high credibility,reliable
detik.com,indonesia,least biased,mixed,limited freedom,website,high traffic,high credibility,mixed
differencebetween.net,usa,least biased,very high,mostly free,website,medium traffic,high credibility,reliable
digi24.ro,romania,least biased,high,moderate freedom,tv station,high traffic,high credibility,reliable
digitaljournal.com,usa,least biased,high,mostly free,website,medium traffic,high credibility,reliable
qconline.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
dmagazine.com,usa,least biased,high,mostly free,magazine,medium traffic,high credibility,reliable
doctorswithoutborders.org,france,least biased,high,mostly free,organization/foundation,medium traffic,high credibility,reliable
dodgeglobe.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
dorsetecho.co.uk,united kingdom,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
dothaneagle.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
dpa.com,germany,least biased,high,mostly free,news agency,high traffic,high credibility,reliable
ladowntownnews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
duluthnewstribune.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
eagletribune.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
yourobserver.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
edp24.co.uk,united kingdom,least biased,high,mostly free,newspaper,high traffic,high credibility,reliable
eastidahonews.com,usa,least biased,high,mostly free,website,medium traffic,high credibility,reliable
eastvalleytribune.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
eatthis.com,usa,least biased,mixed,mostly free,website,high traffic,high credibility,mixed
leadertelegram.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
elkodaily.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
elnuevodia.com,puerto rico/usa,least biased,high,mostly free,newspaper,high traffic,high credibility,reliable
yoursun.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
goerie.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
err.ee,estonia,least biased,high,excellent,tv station,high traffic,high credibility,reliable
dailypress.net,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
echo-news.co.uk,united kingdom,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
eurasiagroup.net,usa,left-center,high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
times-standard.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
everycrsreport.com,usa,least biased,very high,mostly free,organization/foundation,minimal traffic,high credibility,reliable
factcheck.org,usa,least biased,very high,mostly free,organization/foundation,high traffic,high credibility,reliable
factwire.org,usa,least biased,high,mostly free,website,minimal traffic,high credibility,reliable
fairmontsentinel.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility,reliable
fayobserver.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility,reliable
federalnewsnetwork.com,usa,least biased,high,mostly free,radio station,medium traffic,high credibility,reliable
ft.com,united kingdom,least biased,high,mostly free,newspaper,high traffic,high credibility,reliable
